description,id,lat,location,long,name,slug,species_price_from,status,url
"This project will address long-term ecological and biodiversity losses in Ireland. 
After decades of deforestation, many formerly forested areas of the island of Ireland are now treeless and desolate. This initial project will be planting 10,000 trees as a strategy to regenerate original and crucial temperate rainforest habitat. Alongside this, this will engage the wider community, including the general public, businesses, and schoolchildren.",669,52.984489,Ireland,-9.269574,Ireland Community Tree Planting,ireland-community-tree-planting,7,active,https://tree-nation.com/projects/ireland-community-tree-planting
"The monarch sanctuary is located in Michoacan, Mexico. The monarchs come to this place from Canada and the USA to get refuge from the low temperatures. In the last few years, this place has been deforested and degraded. This project will establish the local plants with a mix of conifers. We will include the local communities in the process.",676,19.563793,México,-100.29689,Michoacan Monarch Reforestation,michoacan-monarch-reforestation,0,inactive,https://tree-nation.com/projects/michoacan-monarch-reforestation
"The Mai Ndombe REDD+/CCB Gold Project, situated in the western part of the DRC in Africa, is dedicated to conserving 248,956 hectares of forest from commercial logging, uncontrolled fuelwood gathering, and slash-and-burn farming. It contributes to the reduction of carbon emissions and the conservation of habitats for wildlife. The initiative seeks to elevate the quality of life for community members while ensuring environmental protection",679,-1.930773,DR Congo,18.092848,VCS Mai Ndombe REDD+/CCB Gold,vcs-mai-ndombe-redd-project,0,inactive,https://tree-nation.com/projects/vcs-mai-ndombe-redd-project
"The Tumring REDD+/CCB Project is situated on the southwestern boundary of the newly proclaimed Prey Long Wildlife Sanctuary. Spanning around 66,645 hectares, it's nestled in Cambodia's heartland, west of the Mekong River. The project has has two primary action points: Enhancing livelihoods and Curtailing forest clearing and timber extraction by local inhabitants. These actions target communities situated within and near the project's vicinity",681,12.822183,Cambodia,105.125893,VCS Tumring REDD+/CCB Project,vcs-tumring-redd-project,0,inactive,https://tree-nation.com/projects/vcs-tumring-redd-project
"The project trains 700 farmers during 4 years to implement the Forest Garden Approach (FGA) in Uganda's Mount Elgon region. The FGA restores degraded land, captures CO2, improves biodiversity, and prevents unsustainable land use practises. With sustainable agroforestry the farmers plant >2 million trees, and receive the resources/know how needed to succeed (thus ending hunger + poverty). TN adds to all trees the same CO2 of VCS certified projects",682,1.135783,Uganda,34.554768,Forest Gardens - Mount Elgon Region,trees-for-the-future-uganda,1,active,https://tree-nation.com/projects/trees-for-the-future-uganda
"The project is located in the Simiyu region (near Serengeti Nat. Park), an area in great need of sustainable farming + tree planting. It provides planting of >2 million trees and a 4 year agroforestry training to 600 farmers by implementing the Forest Garden Approach. Sustainable land practices and the rebuilding of food systems break the cycles of climate change + generational poverty. TN adds to all trees the same CO2 of VCS certified projects.",683,-2.818358,Tanzania,34.15564,Forest Gardens - Simiyu Region,trees-for-the-future-tanzania,1,active,https://tree-nation.com/projects/trees-for-the-future-tanzania
We are launching and actively conducting ecological restoration initiatives centered around tree planting in the Transylvania region. We are reintroducing oak species into the Ciuc Basin (Eastern Carpathians) and we are replanting wind damaged forests in the Hășmaș Mountains with mixed forests composed of native species in order to increase the resistance of the newly forming forests to the effects of global  climate change.,690,46.168808,Romania,25.911007,Climate Smart Forests Transylvania,climate-smart-forests-transylvania,2,active,https://tree-nation.com/projects/climate-smart-forests-transylvania
"This project, based in Semarang (Central Java) improves the environment and the lives of farmers in local communities through planting trees, education and related services. Community forestry is acknowledged as a key strategy in promoting sustainable forest management and in reducing poverty in rural areas of developing countries. So far more than 6 million trees have been planted, and 38,700 local families have been helped to get started.",692,-7.180551,Indonesia,110.349533,Community Reforestation in Java,community-reforestation-in-java-1,1,active,https://tree-nation.com/projects/community-reforestation-in-java-1
"The project helps small, under resourced communities (ejidos) fight forest degradation and the negative effects of climate change by implementing innovative forest restoration and conservation strategies.  The ejidos (as forest owners) provide most of the labor for the planting and maintenance of trees, with women often taking the lead. These healthy, diverse and dense forests improve biodiversity, prevent erosion and replenish water reserves.",694,17.976389,Mexico,-97.373886,Restoration and Social Empowerment,restauration-and-empowerment-mexico,1.5,active,https://tree-nation.com/projects/restauration-and-empowerment-mexico
"Wildfires in California are constantly increasing and becoming more severe mostly due to climate change causing extreme heat and droughts after historically low rainfall. Most of the wildfire seasons in California also experience now an unusually early start, and many more acres are burning compared to previous decades in the state's recorded history. This projects supports the restauration of forests lost in recent wildfires.",698,41.490704,United States,-123.247726,Lost Forests Recovery in California,replanting-lost-forests-california,1.5,active,https://tree-nation.com/projects/replanting-lost-forests-california
"Kenya currently has one of the lowest forest cover percentages of 8% compared to the global average of 30%. The combination of logging, charcoal burning, and illegal settlements all contribute to the loss of forests. Eden Reforestation Project provides restoration and community development through nature-based solutions to climate change. Eden empowers local community with sustainable livelihood options to restore their natural environment.",704,-2.390773,Kenya,40.782242,Eden Reforestation Projects,eden-reforestation-kenya,0.5,active,https://tree-nation.com/projects/eden-reforestation-kenya
The project reforests Boreal Forests (Manitoba) affected by pest infestation and wildfire with native tree species. These lost forests would come back as a savannah (brush + grasses) if not restored with assistance. Participation of local indigenous communities provides skills and employment. Trees are planted on public land and managed by the Province of Manitoba. So far 1 million trees have been planted.,705,52.405426,Canada,-98.917091,Boreal Forest Habitat Restauration,boreal-forest-habitat-restauration-canada,1,active,https://tree-nation.com/projects/boreal-forest-habitat-restauration-canada
